Time,Latitude,Longitude,Depth,Altitude,Chlorophyll,cDOM,DissolvedOxygen
1569492188.49,63.58022389,10.50336284,0.093426,-1,0.8468000293,5.2863998413,244.658
1569492189.64,63.58022149,10.50335824,0.03911,-1,0.9416999817,5.1072001457,242.805
1569492190.79,63.58021899,10.50335443,0.059377,-1,0.8468000293,6.0928001404,239.29
1569492191.89,63.58021627,10.50335076,0.019814,-1,0.8833000064,5.7343997955,239.535
1569492193.04,63.58021578,10.50334718,0.062108,-1,0.8687000275,5.913599968,239.3545
1569492194.14,63.58020873,10.50332677,0.043186,-1,0.9416999817,5.4656000137,239.275
1569492195.29,63.58020808,10.50331967,0.062699,-1,0.8906000257,5.6448001862,276.629
1569492196.39,63.58020509,10.50331473,0.037646,-1,0.934400022,5.5552000999,239.316
1569492197.54,63.5802016,10.5033105,0.037587,-1,0.8978999853,5.1968002319,245.413
1569492198.64,63.58019745,10.50330375,0.038723,-1,0.9125000238,5.7343997955,239.422
1569492199.79,63.58019528,10.50329637,0.020672,-1,0.8833000064,5.1968002319,239.432
1569492200.89,63.58019366,10.50328904,0.060088,-1,0.9563000202,5.7343997955,239.37
1569492202.04,63.58019056,10.50327866,0.027435,-1,1.0950000286,6.1824002266,239.343
1569492203.14,63.58018223,10.50325173,0.045071,-1,1.0219999552,5.5552000999,276.847
1569492204.29,63.58017961,10.50324393,0.036118,-1,1.0001000166,5.5552000999,239.718
1569492205.39,63.5801763,10.50323563,0.187166,-1,0.949000001,5.5552000999,251.717
1569492206.54,63.58017213,10.50322893,0.149177,-1,1.0365999937,5.7343997955,268.561
1569492207.64,63.58016892,10.50322115,0.052577,-1,1.0001000166,5.2863998413,239.295
1569492208.79,63.58016589,10.50321582,0.048384,-1,0.9197999835,6.3615999222,239.772
1569492209.89,63.58016181,10.5032075,0.051737,-1,0.9125000238,5.4656000137,239.419
1569492211.042,63.58015895,10.50320172,0.098036,-1,0.9197999835,5.1968002319,243.837
1569492212.14,63.58014918,10.50316981,0.057521,-1,1.0219999552,5.5552000999,239.25
1569492213.29,63.58014577,10.50316154,0.043775,-1,0.9271000028,5.2863998413,239.398
1569492214.39,63.58014439,10.50315749,0.065039,-1,0.9125000238,5.8239998817,239.404
